Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Asset type,NWA
02/07/2024 01:05,Dividend,SPY5.L/USD,2.56,-,2.56,51252.8,63.84,ETF,0
02/07/2024 01:05,Dividend,SPY5.L/USD,2.56,-,2.56,51255.36,66.4,ETF,0
02/07/2024 01:05,Dividend,SPY5.L/USD,2.4,-,2.4,51257.76,68.8,ETF,0
02/07/2024 01:05,Dividend,SPY5.L/USD,2.56,-,2.56,51260.32,71.36,ETF,0
02/07/2024 01:05,Dividend,SPY5.L/USD,2.88,-,2.88,51263.2,74.24,ETF,0
13/07/2024 00:58,Dividend,TSM/USD,3.68,-,3.68,51266.88,77.92,Stocks,0
13/07/2024 00:58,Dividend,TSM/USD,3.52,-,3.52,51270.4,81.44,Stocks,0
13/07/2024 00:58,Dividend,TSM/USD,2.56,-,2.56,51272.96,84,Stocks,0
31/07/2024 00:50,Dividend,IUS3.DE/EUR,12.64,-,12.64,51285.6,96.64,ETF,0
31/07/2024 00:50,Dividend,IUS3.DE/EUR,8.64,-,8.64,51294.24,105.28,ETF,0
31/07/2024 00:50,Dividend,IUS3.DE/EUR,5.12,-,5.12,51299.36,110.4,ETF,0
31/07/2024 00:50,Dividend,IUS3.DE/EUR,6.08,-,6.08,51305.44,116.48,ETF,0
31/07/2024 00:50,Dividend,IUS3.DE/EUR,5.12,-,5.12,51310.56,121.6,ETF,0
31/07/2024 00:50,Dividend,IUS3.DE/EUR,5.44,-,5.44,51316,127.04,ETF,0
31/07/2024 00:50,Dividend,IUS3.DE/EUR,5.12,-,5.12,51321.12,132.16,ETF,0
15/08/2024 03:10,Dividend,AAPL/USD,1.76,-,1.76,51322.88,132.16,Stocks,0
29/08/2024 13:51,Deposit,,19200,-,19200,70522.88,19332.16,-,0
29/08/2024 13:51,Deposit Conversion Fee,-,0,-,0,70522.88,19332.16,-,0
29/08/2024 13:58,Open Position,SPY5.L/USD,6532.16,11.606112,0,70522.88,12800,ETF,0
29/08/2024 13:59,Open Position,XDEW.DE/EUR,4799.36,50.9492,0,70522.88,8000.64,ETF,0
29/08/2024 14:03,Open Position,VERX.DE/EUR,2000,88.40848,0,70522.88,4000.64,ETF,0
04/09/2024 13:30,Open Position,TSM/USD,1600,10.00624,0,70522.88,2400.64,Stocks,0
05/09/2024 13:30,Open Position,GE/USD,1198.88,14.466032,0,70522.88,2.88,Stocks,0
12/09/2024 02:54,Dividend,MSFT/USD,2.56,-,2.56,70525.44,2.88,Stocks,0
16/09/2024 00:45,Dividend,SX5EEX.DE/EUR,16.96,-,16.96,70542.4,19.84,ETF,0
16/09/2024 00:45,Dividend,SX5EEX.DE/EUR,13.92,-,13.92,70556.32,33.76,ETF,0
16/09/2024 01:13,Dividend,GOOGL/USD,1.12,-,1.12,70557.44,33.76,Stocks,0
25/09/2024 00:29,Dividend,VERX.DE/EUR,9.6,-,9.6,70567.04,43.36,ETF,0
25/09/2024 00:46,Dividend,IDEM/USD,19.52,-,19.52,70586.56,62.88,ETF,0
25/09/2024 00:46,Dividend,IDEM/USD,11.52,-,11.52,70598.08,74.4,ETF,0
26/09/2024 02:41,Dividend,META/USD,0.64,-,0.64,70598.72,74.4,Stocks,0
01/10/2024 01:03,Dividend,SPY5.L/USD,2.4,-,2.4,70601.12,76.8,ETF,0
01/10/2024 01:03,Dividend,SPY5.L/USD,0.96,-,0.96,70602.08,77.76,ETF,0
01/10/2024 01:03,Dividend,SPY5.L/USD,2.4,-,2.4,70604.48,80.16,ETF,0
01/10/2024 01:03,Dividend,SPY5.L/USD,2.4,-,2.4,70606.88,82.56,ETF,0
01/10/2024 01:03,Dividend,SPY5.L/USD,2.24,-,2.24,70609.12,84.8,ETF,0
01/10/2024 01:03,Dividend,SPY5.L/USD,2.24,-,2.24,70611.36,87.04,ETF,0
01/10/2024 01:03,Dividend,SPY5.L/USD,2.72,-,2.72,70614.08,89.76,ETF,0
01/10/2024 01:03,Dividend,SPY5.L/USD,17.6,-,17.6,70631.68,107.36,ETF,0
03/10/2024 02:02,Dividend,NVDA/USD,0.16,-,0.16,70631.84,107.36,Stocks,0
11/10/2024 00:57,Dividend,TSM/USD,4.16,-,4.16,70636,111.52,Stocks,0
11/10/2024 00:57,Dividend,TSM/USD,4,-,4,70640,115.52,Stocks,0
11/10/2024 00:57,Dividend,TSM/USD,2.88,-,2.88,70642.88,118.4,Stocks,0
11/10/2024 00:57,Dividend,TSM/USD,4.96,-,4.96,70647.84,123.36,Stocks,0
25/10/2024 00:44,Dividend,GE/USD,3.52,-,3.52,70651.36,126.88,Stocks,0
08/11/2024 08:04,Position closed,VERX.DE/EUR,1884.16,44.205968,-115.84,70535.52,2011.04,ETF,0
08/11/2024 08:04,Position closed,SX5EEX.DE/EUR,1833.28,34.866608,-86.72,70448.8,3844.32,ETF,0
08/11/2024 08:04,Position closed,SX5EEX.DE/EUR,1501.92,28.564624,-98.08,70350.72,5346.24,ETF,0
08/11/2024 14:31,Position closed,GE/USD,1298.56,7.233456,99.68,70450.4,6644.8,Stocks,0
14/11/2024 01:56,Dividend,AAPL/USD,1.76,-,1.76,70452.16,6644.8,Stocks,0
18/11/2024 08:59,Open Position,SPY4.DE/EUR,3442.56,34.948784,0,70452.16,3202.24,ETF,0
18/11/2024 08:59,Open Position,ZPRR.DE/EUR,3202.24,48.225376,0,70452.16,0,ETF,0
02/12/2024 00:39,Dividend,BA.L/GBX,11.04,-,11.04,70463.2,11.04,Stocks,0
02/12/2024 00:39,Dividend,BA.L/GBX,10.72,-,10.72,70473.92,21.76,Stocks,0
09/12/2024 14:24,Position closed,CEBP.DE/EUR,1222.72,115.343664,6.72,70480.64,1244.48,ETF,0
09/12/2024 14:24,Position closed,CEBP.DE/EUR,1785.12,168.394768,25.12,70505.76,3029.6,ETF,0
09/12/2024 14:24,Position closed,CEBP.DE/EUR,993.12,93.677248,33.12,70538.88,4022.72,ETF,0
09/12/2024 14:27,Position closed,BA.L/GBX,1079.84,70.17352,-120.16,70418.72,5102.56,Stocks,0
09/12/2024 14:27,Position closed,BA.L/GBX,1050.08,68.240384,-144,70274.72,6152.64,Stocks,0
09/12/2024 14:28,Open Position,RHM.DE/EUR,1600,2.425328,0,70274.72,4552.64,Stocks,0
11/12/2024 18:10,Open Position,LMT/USD,2400,4.70976,0,70274.72,2136.64,Stocks,0
12/12/2024 02:42,Dividend,MSFT/USD,2.88,-,2.88,70277.6,2120.64,Stocks,0
16/12/2024 00:15,Dividend,DJGTEEX.DE/EUR,2.56,-,2.56,70280.16,2123.2,ETF,0
16/12/2024 01:56,Dividend,GOOGL/USD,1.12,-,1.12,70281.28,2123.2,Stocks,0
23/12/2024 08:04,Open Position,IUS3.DE/EUR,2123.2,22.357088,0,70281.28,0,ETF,0
27/12/2024 00:06,Dividend,VERX.DE/EUR,6.08,-,6.08,70287.36,6.08,ETF,0
27/12/2024 00:57,Dividend,IDEM/USD,6.4,-,6.4,70293.76,12.48,ETF,0
27/12/2024 00:57,Dividend,IDEM/USD,3.84,-,3.84,70297.6,16.32,ETF,0
27/12/2024 02:38,Dividend,META/USD,0.64,-,0.64,70298.24,16.32,Stocks,0
27/12/2024 04:31,Dividend,NVDA/USD,0.16,-,0.16,70298.4,16.32,Stocks,0
31/12/2024 01:59,Dividend,SPY5.L/USD,2.56,-,2.56,70300.96,18.88,ETF,0
31/12/2024 01:59,Dividend,SPY5.L/USD,0.96,-,0.96,70301.92,19.84,ETF,0
31/12/2024 01:59,Dividend,SPY5.L/USD,2.4,-,2.4,70304.32,22.24,ETF,0
31/12/2024 01:59,Dividend,SPY5.L/USD,2.56,-,2.56,70306.88,24.8,ETF,0
31/12/2024 01:59,Dividend,SPY5.L/USD,2.4,-,2.4,70309.28,27.2,ETF,0
31/12/2024 01:59,Dividend,SPY5.L/USD,2.4,-,2.4,70311.68,29.6,ETF,0
31/12/2024 01:59,Dividend,SPY5.L/USD,2.72,-,2.72,70314.4,32.32,ETF,0
31/12/2024 01:59,Dividend,SPY5.L/USD,18.4,-,18.4,70332.8,50.72,ETF,0
11/01/2025 00:42,Dividend,TSM/USD,4.16,-,4.16,70336.96,54.88,Stocks,0
11/01/2025 00:42,Dividend,TSM/USD,3.84,-,3.84,70340.8,58.72,Stocks,0
11/01/2025 00:42,Dividend,TSM/USD,2.88,-,2.88,70343.68,61.6,Stocks,0
11/01/2025 00:42,Dividend,TSM/USD,4.8,-,4.8,70348.48,66.4,Stocks,0
